Self-direction,relig,swear,hear,Universal,article,Sixltr,they,Stimulation,assent,home,insight,adverb,verb,posemo,Unique,certain,anx,ingest,achieve,Openness
0.4,0.07,0.0,0.15,0.8,5.84,32.17,0.22,0.6,0.07,0.15,0.66,1.39,4.67,3.36,51.2,1.17,0.15,1.46,2.04,0.4
1.0,0.65,0.0,0.43,0.667,4.89,29.81,0.22,1.0,0.14,0.07,2.16,1.94,6.54,4.45,49.57,0.93,0.0,0.14,2.51,0.8
0.8,0.62,0.0,0.53,0.933,4.59,28.48,0.53,1.0,0.18,0.18,1.41,1.06,4.32,4.06,56.61,1.41,0.18,0.62,2.38,0.65
0.8,0.08,0.08,0.16,0.667,5.4,30.99,0.41,0.7,0.08,0.9,1.06,1.31,5.97,4.82,52.82,0.98,0.25,0.49,2.78,0.65
0.6,0.27,0.07,0.4,0.8,5.37,28.93,0.13,0.6,0.13,0.33,1.33,1.86,6.37,4.78,49.44,1.19,0.13,0.93,2.46,0.7
0.8,0.32,0.0,0.32,0.733,4.63,29.69,0.0,0.8,0.24,1.12,1.44,2.08,6.94,5.91,51.56,1.76,0.0,1.84,2.23,0.6
0.7,0.23,0.08,0.0,0.8,3.66,27.29,0.08,0.8,0.0,0.99,1.07,2.29,6.86,4.5,49.47,1.75,0.0,0.76,1.91,0.575
0.9,0.22,0.0,0.6,0.8,5.13,34.75,0.0,0.7,0.07,0.37,0.97,1.19,4.61,4.61,49.4,1.34,0.37,0.89,2.23,0.625
1.0,0.56,0.0,0.64,0.867,5.61,30.23,0.32,1.0,0.16,0.0,1.2,1.76,6.5,4.73,48.2,1.76,0.16,0.16,2.49,0.675
0.7,0.26,0.0,0.13,0.667,6.08,31.37,0.2,0.6,0.0,0.46,1.92,1.39,6.27,4.49,49.54,0.73,0.13,0.4,4.23,0.55
0.6,0.45,0.0,0.22,0.867,5.77,27.34,0.15,0.7,0.0,1.05,1.35,2.1,5.09,5.99,51.09,1.05,0.07,3.67,2.55,0.45
0.9,0.43,0.0,0.36,0.733,6.34,34.14,0.14,0.9,0.0,0.21,1.57,1.71,5.77,4.92,45.55,1.0,0.14,0.43,2.85,0.55
0.8,0.4,0.0,0.53,0.8,6.06,32.54,0.26,0.8,0.07,0.53,1.25,1.71,6.06,4.15,51.71,0.99,0.33,0.79,2.57,0.625
0.8,0.51,0.0,0.68,1.0,6.11,33.42,0.0,0.7,0.25,0.25,2.46,1.61,5.17,4.75,54.28,1.19,0.25,1.19,2.63,0.7
1.0,0.42,0.0,0.34,0.8,6.4,31.26,0.17,1.0,0.17,0.51,1.68,1.26,4.8,4.04,53.16,1.35,0.08,0.17,2.61,0.675
1.0,0.43,0.07,0.36,0.867,5.0,33.38,0.21,1.0,0.07,0.07,2.0,1.0,4.79,3.36,54.9,0.93,0.0,0.29,2.57,0.675
0.9,0.29,0.0,0.19,0.867,4.89,32.63,0.58,0.9,0.0,0.77,2.11,1.63,4.8,3.84,51.73,1.25,0.0,0.0,2.11,0.625
1.0,0.88,0.0,0.78,0.933,4.28,35.83,0.0,0.9,0.0,0.29,0.97,1.56,4.67,5.65,52.29,0.68,0.0,0.0,2.34,0.8
0.6,0.23,0.12,0.06,0.867,7.77,31.03,0.06,0.5,0.0,0.23,2.63,1.11,4.68,4.5,49.44,0.41,0.0,0.23,1.99,0.675
0.8,0.15,0.0,0.51,0.467,5.65,31.96,0.44,0.6,0.07,0.51,1.1,1.32,5.72,4.03,51.25,0.95,0.15,0.07,1.76,0.725
0.8,0.0,0.0,0.0,0.6,6.99,30.13,0.0,0.6,0.0,0.87,3.06,3.49,6.99,7.42,69.43,0.87,0.0,0.0,2.18,0.625
0.4,0.42,0.0,0.14,0.867,4.82,24.15,0.63,0.6,0.07,0.28,1.88,1.95,7.54,4.4,49.55,1.33,0.14,0.07,2.23,0.5
1.0,0.37,0.0,0.44,0.867,4.93,30.39,0.0,0.9,0.0,0.44,1.4,1.77,6.25,4.71,47.98,1.03,0.0,0.07,2.87,0.375
1.0,1.27,0.0,1.19,0.867,3.97,29.76,0.24,0.8,0.08,0.0,1.27,2.62,5.4,3.49,52.38,1.19,0.16,0.0,2.38,0.725
0.5,0.37,0.0,0.15,0.933,5.25,27.36,0.22,0.6,0.15,0.67,2.1,2.4,7.5,4.35,51.65,0.9,0.22,0.37,2.32,0.725
1.0,0.22,0.0,0.88,0.867,5.74,27.15,0.44,0.9,0.0,0.22,0.88,1.1,5.96,3.31,56.07,1.55,0.0,0.22,2.21,0.65
0.9,0.48,0.14,0.14,0.867,5.28,27.35,0.07,0.4,0.21,0.0,1.85,1.99,5.28,4.93,47.91,0.89,0.21,0.21,2.67,0.75
0.6,0.46,0.0,0.85,0.6,5.23,30.48,0.13,0.8,0.07,0.72,1.96,1.77,5.1,4.97,52.13,1.44,0.07,0.39,2.75,0.6
1.0,0.44,0.0,0.35,1.0,4.53,29.94,0.09,1.0,0.26,0.44,1.83,2.35,6.96,5.31,53.0,1.39,0.26,2.35,2.61,0.65
0.5,0.75,0.0,0.38,0.533,5.13,32.35,0.15,1.0,0.08,0.0,1.28,2.04,5.13,5.73,48.57,1.28,0.08,0.38,3.02,0.5
0.9,0.84,0.0,0.65,1.0,6.24,29.08,0.37,0.9,0.19,0.28,0.84,1.86,5.03,5.13,52.94,1.21,0.0,1.12,2.05,0.65
0.6,0.4,0.0,0.48,0.867,4.64,29.3,0.4,0.7,0.0,0.24,1.04,1.6,6.57,3.68,50.2,1.04,0.0,0.08,2.4,0.625
0.8,0.43,0.0,0.21,0.933,5.73,25.72,0.36,0.8,0.0,1.15,0.79,2.22,7.02,4.44,53.94,1.5,0.07,3.01,1.86,0.55
0.6,1.11,0.0,0.08,0.867,6.26,26.15,0.32,0.6,0.0,0.63,1.9,2.14,6.74,5.55,51.74,1.19,0.16,0.95,1.82,0.55
0.4,0.48,0.0,0.24,0.667,5.6,29.46,0.56,0.5,0.0,0.08,1.84,1.6,6.97,5.12,50.44,1.6,0.0,0.64,2.72,0.525
0.8,0.26,0.0,0.26,0.867,6.15,28.86,0.43,0.8,0.17,1.2,1.54,1.45,5.89,4.87,50.3,1.37,0.17,1.45,2.22,0.825
0.8,0.2,0.07,0.2,1.0,6.06,30.26,0.27,0.9,0.0,0.4,1.42,1.68,6.54,4.78,50.07,1.08,0.13,0.34,2.36,0.675
0.7,0.16,0.0,0.24,0.8,5.66,28.24,0.16,0.8,0.08,0.24,1.7,1.46,6.63,4.29,53.07,0.89,0.08,0.16,1.94,0.675
0.9,0.23,0.0,0.38,0.667,6.58,35.1,0.15,0.5,0.0,0.08,1.29,1.51,5.07,4.84,49.32,0.83,0.08,0.23,2.42,0.675
0.8,0.2,0.07,0.2,1.0,6.06,30.26,0.27,0.9,0.0,0.4,1.42,1.68,6.54,4.78,50.07,1.08,0.13,0.34,2.36,0.725
0.7,0.16,0.0,0.24,0.8,5.66,28.24,0.16,0.8,0.08,0.24,1.7,1.46,6.63,4.29,53.07,0.89,0.08,0.16,1.94,0.725
0.9,0.23,0.0,0.38,0.667,6.58,35.1,0.15,0.5,0.0,0.08,1.29,1.51,5.07,4.84,49.32,0.83,0.08,0.23,2.42,0.725
0.9,0.88,0.0,1.28,0.8,5.75,28.09,0.0,0.9,0.08,0.32,1.76,1.36,6.54,2.31,53.31,0.8,0.24,0.0,2.63,0.75
0.9,0.62,0.0,0.34,0.667,5.78,31.36,0.14,0.6,0.0,0.28,1.86,1.1,7.02,4.2,50.41,1.03,0.55,0.21,2.27,0.625
0.8,0.31,0.0,0.31,0.867,4.84,30.41,0.31,0.8,0.0,0.46,2.61,2.15,6.91,4.45,49.62,1.15,0.23,0.54,2.15,0.6
1.0,0.3,0.0,0.22,0.8,5.75,28.73,0.07,1.0,0.15,0.3,1.12,2.09,6.87,4.93,54.03,0.75,0.15,1.72,2.69,0.625
0.9,0.22,0.0,0.22,0.733,5.47,31.41,0.45,0.8,0.0,0.3,1.42,1.35,6.52,5.02,48.65,1.57,0.07,0.45,3.82,0.625
0.5,0.17,0.0,0.43,0.933,4.94,28.17,0.17,0.9,0.0,0.68,1.11,1.36,6.64,5.19,53.7,0.77,0.0,2.55,2.21,0.7
0.9,0.55,0.0,0.34,0.867,4.82,30.08,0.07,0.2,0.0,1.24,1.31,1.1,5.99,5.37,49.48,1.38,0.14,1.03,2.0,0.65
0.9,0.43,0.0,0.07,0.8,6.53,31.08,0.07,1.0,0.22,0.65,1.94,2.01,6.46,4.02,51.04,0.86,0.0,1.22,2.66,0.575
1.0,0.47,0.0,0.31,1.0,4.91,27.02,0.16,0.9,0.08,0.7,1.56,1.48,4.91,4.28,56.07,0.55,0.08,0.47,1.71,0.6
0.9,0.17,0.0,0.17,0.933,4.19,30.82,0.17,0.8,0.0,0.5,1.17,1.68,5.03,5.11,47.24,1.84,0.0,0.42,2.76,0.6
0.8,0.71,0.0,0.35,0.8,4.96,26.95,0.09,0.5,0.0,0.35,1.42,2.57,7.0,4.79,50.53,1.15,0.35,0.44,1.33,0.625
0.7,0.51,0.0,0.51,0.867,6.17,28.9,0.07,0.5,0.07,0.22,1.6,1.38,6.03,5.66,50.33,0.94,0.29,0.07,2.11,0.55
0.3,0.0,0.0,0.0,0.733,6.04,27.11,0.0,0.6,0.0,0.18,1.28,1.1,8.24,4.21,56.59,1.1,0.0,0.18,2.2,0.65
0.9,0.15,0.0,0.46,0.867,4.52,29.5,0.38,1.0,0.0,0.84,1.23,1.99,5.44,4.98,52.95,1.84,0.08,1.69,2.45,0.7
0.5,0.06,0.0,0.06,0.733,7.04,32.85,0.06,0.5,0.0,0.43,1.64,0.97,4.74,5.46,45.78,0.91,0.0,0.3,2.61,0.6
1.0,0.16,0.0,0.16,0.867,6.49,28.16,0.25,0.9,0.0,0.49,1.48,1.56,5.34,4.6,54.6,1.4,0.08,0.66,2.96,0.65
0.6,0.27,0.0,0.27,0.667,4.27,27.48,0.14,0.4,0.0,1.02,1.7,2.65,6.92,4.95,45.32,1.22,0.2,0.27,2.92,0.475
0.8,0.29,0.0,0.29,0.667,5.84,29.94,0.14,0.4,0.07,0.36,1.0,1.64,6.41,4.28,50.53,1.57,0.0,0.21,2.64,0.575
1.0,0.6,0.15,0.76,1.0,6.34,26.96,0.45,0.9,0.15,0.3,1.59,1.81,6.12,4.68,50.83,1.06,0.23,2.49,2.11,0.75
0.9,0.89,0.0,0.18,0.933,6.15,27.72,0.09,0.6,0.0,0.18,1.87,1.69,7.75,4.28,50.27,2.05,0.27,0.27,2.05,0.625
0.6,0.25,0.08,0.0,0.867,5.56,28.9,0.17,0.6,0.0,1.41,1.91,2.08,7.14,6.06,54.49,1.25,0.0,1.99,2.57,0.425
0.9,0.14,0.0,0.29,0.533,4.86,28.97,0.14,0.5,0.07,0.21,1.43,1.72,6.94,4.08,52.29,1.0,0.21,0.21,2.93,0.625
0.7,0.22,0.0,0.66,0.733,3.95,28.29,0.0,0.6,0.0,0.22,3.29,2.19,8.55,2.63,58.77,0.88,0.22,0.0,2.63,0.625
1.0,0.72,0.0,0.81,0.867,5.59,29.01,0.0,0.8,0.0,0.45,1.17,2.61,5.95,4.59,49.28,0.99,0.18,0.0,1.35,0.6
0.8,0.14,0.07,0.28,0.133,4.98,29.36,0.0,0.6,0.14,0.28,0.91,1.82,5.68,3.92,52.98,0.49,0.07,0.14,1.54,0.4
0.9,0.67,0.0,0.75,0.867,6.15,33.5,0.33,1.0,0.08,0.25,1.0,1.33,5.4,4.32,47.22,1.33,0.33,0.17,1.83,0.625
0.7,0.34,0.08,0.59,0.933,5.82,33.84,0.0,1.0,0.0,0.68,1.6,1.18,4.64,3.88,48.1,1.18,0.0,0.17,2.53,0.7
0.9,0.16,0.0,0.49,0.733,4.8,27.48,0.08,1.0,0.16,0.08,1.14,1.71,7.24,5.77,50.24,1.22,0.24,0.0,1.71,0.575
1.0,0.31,0.0,0.16,0.733,5.26,28.59,0.0,0.9,0.08,0.63,1.41,2.51,6.68,5.81,49.57,2.04,0.0,0.08,2.67,0.475
0.8,0.31,0.0,0.5,0.733,4.72,29.52,0.62,0.9,0.0,0.81,1.68,1.31,5.22,4.41,58.79,1.37,0.06,1.12,2.73,0.625
0.9,0.79,0.07,1.01,0.533,6.18,27.3,0.14,0.9,0.0,0.22,1.58,2.01,6.03,4.17,49.86,0.5,0.14,0.86,2.73,0.725
1.0,0.32,0.0,0.4,0.867,5.38,28.42,0.0,0.8,0.0,0.48,0.48,2.14,6.89,3.8,48.69,0.95,0.08,0.08,1.66,0.475
1.0,0.0,0.0,0.07,1.0,6.24,29.62,0.07,1.0,0.0,0.07,2.45,2.0,7.05,4.38,45.43,0.74,0.0,0.0,2.75,0.55
1.0,0.34,0.0,0.17,0.8,5.89,30.39,0.0,1.0,0.0,0.25,1.85,1.94,6.9,5.13,47.81,1.18,0.17,0.0,2.1,0.725
0.9,0.66,0.0,0.41,0.6,5.65,27.93,0.16,0.8,0.16,0.08,1.72,1.88,6.14,5.32,52.5,0.74,0.16,0.25,2.38,0.725
0.6,0.0,0.0,0.55,0.6,3.31,34.81,0.0,0.8,0.55,0.0,2.76,1.1,7.73,5.52,62.43,0.55,0.0,0.0,1.1,0.65
1.0,0.31,0.08,0.15,0.867,5.99,34.69,0.15,1.0,0.08,0.23,1.23,1.46,5.14,3.91,51.11,0.92,0.0,0.23,1.61,0.8
1.0,0.34,0.0,0.21,0.733,6.59,29.51,0.41,0.8,0.0,0.21,1.3,1.51,7.21,3.84,47.56,1.37,0.07,0.0,3.91,0.8
1.0,0.32,0.16,0.48,0.8,4.34,28.56,0.16,0.9,0.24,0.32,0.97,2.17,6.36,5.23,53.82,1.05,0.16,0.64,2.25,0.675
0.8,0.54,0.0,0.46,0.8,5.65,25.62,0.0,0.8,0.0,0.46,1.7,1.7,7.2,5.11,53.33,1.47,0.08,1.78,2.09,0.575
0.9,0.39,0.0,0.39,0.867,6.45,31.63,0.0,0.7,0.0,0.16,1.42,0.71,4.96,4.48,48.86,0.71,0.0,0.16,2.44,0.675
0.9,0.85,0.0,0.14,0.533,5.21,24.37,0.0,0.6,0.28,0.0,1.41,2.82,7.61,4.37,55.49,1.27,0.14,0.28,0.7,0.65
0.5,0.45,0.0,0.3,0.867,6.38,29.47,0.0,0.5,0.07,0.15,1.56,1.26,6.61,5.49,47.59,0.59,0.07,1.11,2.82,0.575
0.8,0.14,0.0,0.28,0.733,5.39,29.98,0.14,1.0,0.07,0.28,1.28,1.35,5.39,3.83,50.6,1.13,0.21,0.14,2.69,0.65
0.8,0.46,0.0,0.53,0.667,5.77,27.54,0.15,0.7,0.15,0.46,1.29,2.05,8.12,5.08,50.38,1.06,0.23,0.23,1.82,0.675
1.0,0.65,0.0,0.65,0.8,5.48,30.83,0.0,0.6,0.0,0.33,1.14,1.88,5.31,4.33,53.48,1.39,0.0,0.25,3.03,0.525
1.0,0.42,0.0,0.21,0.8,7.19,32.24,0.28,0.8,0.07,0.42,2.37,1.54,5.58,4.26,48.15,1.12,0.21,0.0,3.77,0.8
1.0,0.26,0.0,0.51,0.533,5.59,28.39,0.39,0.9,0.06,0.71,1.35,2.06,6.74,4.82,49.52,1.22,0.0,0.83,2.89,0.7
1.0,0.23,0.0,0.23,0.6,4.75,24.75,0.0,1.0,0.0,0.0,0.68,1.69,8.25,6.33,52.2,0.79,0.23,0.0,2.37,0.475
0.6,0.38,0.0,0.56,0.933,5.27,31.42,0.28,1.0,0.0,0.0,0.56,0.94,4.8,4.05,50.8,1.13,0.09,0.28,1.6,0.65
0.7,0.15,0.07,0.29,0.8,5.17,33.14,0.15,0.8,0.0,0.51,1.31,1.17,5.39,4.81,50.25,1.31,0.07,0.58,1.6,0.6
0.6,0.32,0.0,0.48,1.0,5.41,24.8,0.32,0.9,0.0,0.4,0.95,2.23,7.07,4.93,48.49,1.51,0.0,0.16,2.07,0.6
0.9,1.03,0.0,0.22,0.667,6.34,29.5,0.29,1.0,0.07,0.15,1.77,2.36,7.6,5.24,50.81,1.33,0.07,0.52,2.8,0.65
0.9,0.21,0.0,0.14,1.0,6.3,28.24,0.21,0.7,0.14,0.35,0.99,1.63,5.66,4.46,48.55,0.78,0.07,0.07,1.56,0.65
0.9,0.4,0.0,0.08,0.867,5.21,30.87,0.16,1.0,0.0,0.4,1.84,1.92,6.74,3.93,45.23,1.36,0.08,0.32,2.49,0.725
0.9,0.61,0.08,0.23,0.6,6.43,31.85,0.38,1.0,0.15,0.08,2.14,1.38,7.04,5.74,53.37,1.15,0.31,0.38,1.99,0.75
0.8,0.52,0.0,0.15,0.733,6.56,27.19,0.37,0.8,0.15,0.74,1.11,1.77,6.93,5.31,53.43,1.33,0.15,0.66,2.14,0.55
0.8,1.0,0.08,0.31,0.8,6.09,27.66,0.15,1.0,0.15,0.46,1.16,2.0,5.39,3.78,53.85,1.0,0.39,0.23,1.93,0.7
1.0,0.76,0.0,0.83,0.867,6.32,29.53,0.07,0.9,0.07,0.0,1.81,1.81,6.18,3.75,54.83,0.97,0.14,0.69,3.06,0.775
0.7,0.14,0.0,0.07,0.867,3.65,28.29,0.0,0.5,0.0,1.42,1.62,2.09,6.68,4.39,45.98,1.62,0.0,0.88,2.23,0.55
0.7,0.08,0.0,0.0,0.933,6.04,32.01,0.08,0.6,0.08,0.38,1.6,1.68,7.18,5.42,50.42,1.07,0.0,0.61,2.67,0.575
0.7,0.3,0.0,0.4,0.8,5.21,30.03,0.3,0.7,0.1,0.6,1.6,2.0,8.31,4.2,55.56,1.2,0.1,0.2,2.1,0.7
1.0,0.47,0.0,0.62,0.933,5.68,31.36,0.08,1.0,0.0,0.39,1.17,1.71,6.07,4.82,49.34,1.32,0.0,0.23,2.18,0.65
1.0,0.0,0.0,0.26,0.8,5.55,32.79,0.2,0.9,0.07,0.33,1.89,0.98,6.01,3.59,49.05,1.57,0.0,0.07,1.7,0.675
0.9,0.73,0.22,0.29,0.267,7.3,27.17,0.51,0.6,0.07,0.51,1.46,2.26,6.65,5.19,51.13,1.46,0.37,0.22,2.41,0.675
0.6,0.63,0.0,0.63,0.533,5.9,30.76,0.16,0.8,0.16,0.16,2.36,1.42,5.43,3.15,51.53,0.94,0.0,0.87,2.91,0.6
1.0,0.43,0.0,0.18,0.933,4.64,30.73,0.0,1.0,0.06,0.37,1.71,1.53,5.44,5.13,54.73,0.98,0.12,1.28,2.02,0.725
0.3,0.54,0.0,0.08,0.533,5.91,29.16,0.08,0.3,0.0,0.31,1.4,1.79,6.92,3.19,48.76,0.7,0.23,0.0,1.94,0.45
0.9,1.6,0.0,1.6,0.733,5.48,22.15,0.46,0.7,0.0,0.0,1.6,2.97,7.31,3.42,64.38,1.14,0.68,0.23,2.51,0.7
0.9,0.55,0.11,0.22,0.933,5.54,29.82,0.11,0.7,0.0,0.22,2.66,2.11,5.99,5.21,50.78,1.11,0.0,0.0,2.44,0.7
0.9,0.17,0.0,0.17,0.667,5.42,27.46,0.25,0.9,0.08,0.34,0.85,1.78,7.37,5.25,50.68,0.51,0.17,0.51,1.86,0.55
0.8,0.1,0.0,0.0,0.733,4.48,27.79,0.0,0.8,0.1,0.3,1.39,1.69,5.08,4.98,53.78,1.79,0.3,0.2,1.49,0.625
0.8,0.37,0.0,0.0,0.933,5.98,28.2,0.0,0.7,0.15,0.67,1.05,1.87,6.06,4.56,47.12,1.87,0.22,1.12,1.5,0.775
1.0,0.0,0.0,0.0,0.867,4.36,30.93,0.0,0.6,0.09,0.53,1.78,1.16,6.4,4.18,53.87,0.98,0.09,0.53,3.11,0.725
1.0,0.44,0.0,0.96,0.867,5.43,32.31,0.0,0.8,0.09,0.79,0.88,0.79,4.73,3.85,48.51,1.14,0.09,0.44,2.36,0.575
1.0,0.34,0.0,0.2,0.933,5.98,26.46,0.4,0.8,0.13,0.47,1.88,1.34,7.05,4.57,49.23,0.87,0.2,0.07,2.08,0.55
